ID_Venda;Data;ID_Produto;ID_Cliente;ID_Vendedor;Quantidade;Preco_Unitario;Desconto_Pct;Valor_Bruto;Valor_Desconto;Valor_Total;Canal_Venda;arquivo_origem
V00018;2024-11-24;P011;C004;V06;2;1405.15;0.1;2810.3;281.03;2529.27;Vendedor Externo;dataset_vendas_fake.xlsx
V00019;2024-03-21;P015;C001;V06;1;330.26;0.0;330.26;0.0;330.26;E-commerce;dataset_vendas_fake.xlsx
V00020;2024-09-16;P004;C028;V05;1;227.85;0.0;227.85;0.0;227.85;E-commerce;dataset_vendas_fake.xlsx
V00021;2024-03-19;P012;C025;V03;1;874.23;0.1;874.23;87.42;786.81;Loja Física;dataset_vendas_fake.xlsx
V00022;2024-11-02;P011;C016;V02;1;1200.01;0.0;1200.01;0.0;1200.01;Loja Física;dataset_vendas_fake.xlsx
V00023;2024-07-04;P010;C008;V03;1;489.85;0.0;489.85;0.0;489.85;E-commerce;dataset_vendas_fake.xlsx
V00024;2024-10-17;P003;C003;V07;5;68.41;0.0;342.05;0.0;342.05;Loja Física;dataset_vendas_fake.xlsx
V00025;2024-09-29;P005;C005;V06;1;2303.12;0.05;2303.12;115.16;2187.96;E-commerce;dataset_vendas_fake.xlsx
V00026;2024-05-15;P017;C028;V05;2;577.58;0.0;1155.16;0.0;1155.16;E-commerce;dataset_vendas_fake.xlsx
V00027;2024-10-03;P007;C023;V05;1;2452.05;0.1;2452.05;245.21;2206.84;Vendedor Externo;dataset_vendas_fake.xlsx
V00028;2024-12-09;P012;C015;V08;2;887.78;0.0;1775.56;0.0;1775.56;Loja Física;dataset_vendas_fake.xlsx
V00029;2024-05-06;P008;C003;V07;1;1636.58;0.05;1636.58;81.83;1554.75;Loja Física;dataset_vendas_fake.xlsx
V00030;2024-10-28;P018;C008;V03;2;967.53;0.0;1935.06;0.0;1935.06;Loja Física;dataset_vendas_fake.xlsx
V00031;2024-02-06;P002;C008;V03;1;4198.98;0.05;4198.98;209.95;3989.03;Loja Física;dataset_vendas_fake.xlsx
V00032;2024-06-18;P003;C017;V04;1;68.39;0.0;68.39;0.0;68.39;Marketplace;dataset_vendas_fake.xlsx
V00033;2024-12-08;P016;C007;V01;1;671.83;0.0;671.83;0.0;671.83;Vendedor Externo;dataset_vendas_fake.xlsx
V00034;2024-05-04;P016;C026;V07;1;605.28;0.0;605.28;0.0;605.28;E-commerce;dataset_vendas_fake.xlsx
V00035;2024-02-18;P004;C022;V06;1;257.04;0.15;257.04;38.56;218.48;Marketplace;dataset_vendas_fake.xlsx
V00036;2024-08-04;P014;C015;V03;1;104.52;0.05;104.52;5.23;99.29;Loja Física;dataset_vendas_fake.xlsx
V00037;2024-02-01;P013;C024;V06;1;121.31;0.0;121.31;0.0;121.31;Loja Física;dataset_vendas_fake.xlsx
V00038;2024-05-07;P007;C007;V06;1;2993.25;0.1;2993.25;299.32;2693.93;E-commerce;dataset_vendas_fake.xlsx
V00039;2024-08-04;P006;C009;V06;2;1088.51;0.1;2177.02;217.7;1959.32;E-commerce;dataset_vendas_fake.xlsx
V00040;2024-02-08;P015;C026;V02;1;328.1;0.0;328.1;0.0;328.1;Loja Física;dataset_vendas_fake.xlsx
V00041;2024-11-29;P018;C027;V04;2;969.45;0.0;1938.9;0.0;1938.9;Loja Física;dataset_vendas_fake.xlsx
V00042;2024-05-01;P006;C014;V04;1;930.84;0.0;930.84;0.0;930.84;Vendedor Externo;dataset_vendas_fake.xlsx
V00043;2024-04-19;P013;C029;V01;2;147.37;0.0;294.74;0.0;294.74;E-commerce;dataset_vendas_fake.xlsx
V00044;2024-07-13;P001;C013;V07;1;4467.5;0.0;4467.5;0.0;4467.5;Vendedor Externo;dataset_vendas_fake.xlsx
V00045;2024-05-26;P014;C023;V05;1;102.61;0.15;102.61;15.39;87.22;E-commerce;dataset_vendas_fake.xlsx
V00046;2024-04-07;P010;C007;V01;1;458.1;0.05;458.1;22.9;435.2;Loja Física;dataset_vendas_fake.xlsx
V00047;2024-06-09;P002;C002;V06;1;4452.35;0.2;4452.35;890.47;3561.88;E-commerce;dataset_vendas_fake.xlsx
V00048;2024-01-30;P017;C003;V02;1;541.13;0.0;541.13;0.0;541.13;Loja Física;dataset_vendas_fake.xlsx
V00049;2024-10-31;P003;C022;V01;1;56.83;0.0;56.83;0.0;56.83;Vendedor Externo;dataset_vendas_fake.xlsx
V00050;2024-03-02;P019;C008;V03;1;431.13;0.0;431.13;0.0;431.13;Loja Física;dataset_vendas_fake.xlsx
V00051;2024-08-02;P019;C019;V05;3;453.51;0.0;1360.53;0.0;1360.53;Marketplace;dataset_vendas_fake.xlsx
V00052;2024-04-14;P011;C008;V08;1;1419.53;0.0;1419.53;0.0;1419.53;Vendedor Externo;dataset_vendas_fake.xlsx
V00053;2024-03-08;P010;C015;V08;2;485.3;0.0;970.6;0.0;970.6;Loja Física;dataset_vendas_fake.xlsx
V00054;2024-01-05;P015;C020;V01;2;289.53;0.0;579.06;0.0;579.06;Loja Física;dataset_vendas_fake.xlsx
V00055;2024-10-02;P007;C017;V04;2;2731.29;0.0;5462.58;0.0;5462.58;E-commerce;dataset_vendas_fake.xlsx
V00056;2024-06-27;P003;C029;V01;2;61.3;0.0;122.6;0.0;122.6;Marketplace;dataset_vendas_fake.xlsx
V00057;2024-05-25;P006;C015;V08;1;1019.77;0.0;1019.77;0.0;1019.77;Loja Física;dataset_vendas_fake.xlsx
V00058;2024-12-07;P018;C010;V02;1;886.12;0.0;886.12;0.0;886.12;E-commerce;dataset_vendas_fake.xlsx
V00059;2024-05-15;P004;C029;V01;2;235.99;0.0;471.98;0.0;471.98;E-commerce;dataset_vendas_fake.xlsx
V00060;2024-05-19;P010;C020;V01;1;504.91;0.0;504.91;0.0;504.91;Marketplace;dataset_vendas_fake.xlsx
V00061;2024-04-14;P009;C017;V04;1;322.43;0.15;322.43;48.36;274.07;Marketplace;dataset_vendas_fake.xlsx
V00062;2024-01-27;P003;C021;V07;3;60.31;0.0;180.93;0.0;180.93;Marketplace;dataset_vendas_fake.xlsx
V00063;2024-01-23;P001;C011;V03;2;4621.82;0.0;9243.64;0.0;9243.64;Marketplace;dataset_vendas_fake.xlsx
V00064;2024-03-23;P015;C018;V05;1;269.34;0.1;269.34;26.93;242.41;Loja Física;dataset_vendas_fake.xlsx
V00065;2024-02-27;P003;C029;V01;3;66.22;0.0;198.66;0.0;198.66;Loja Física;dataset_vendas_fake.xlsx
V00066;2024-07-08;P019;C018;V05;1;511.39;0.1;511.39;51.14;460.25;Vendedor Externo;dataset_vendas_fake.xlsx
V00067;2024-03-06;P002;C010;V07;3;4264.28;0.0;12792.84;0.0;12792.84;Loja Física;dataset_vendas_fake.xlsx
V00068;2024-07-02;P007;C022;V01;1;2482.48;0.1;2482.48;248.25;2234.23;Loja Física;dataset_vendas_fake.xlsx
V00069;2024-06-30;P018;C029;V06;2;777.0;0.0;1554.0;0.0;1554.0;E-commerce;dataset_vendas_fake.xlsx
V00070;2024-05-01;P006;C026;V02;2;876.24;0.0;1752.48;0.0;1752.48;Vendedor Externo;dataset_vendas_fake.xlsx
V00071;2024-01-13;P006;C024;V06;1;1044.51;0.0;1044.51;0.0;1044.51;Vendedor Externo;dataset_vendas_fake.xlsx
V00072;2024-12-08;P008;C009;V01;1;1799.12;0.0;1799.12;0.0;1799.12;Loja Física;dataset_vendas_fake.xlsx
V00073;2024-07-14;P002;C028;V05;1;4231.56;0.0;4231.56;0.0;4231.56;E-commerce;dataset_vendas_fake.xlsx
V00074;2024-04-12;P015;C012;V06;2;310.83;0.0;621.66;0.0;621.66;E-commerce;dataset_vendas_fake.xlsx
V00075;2024-04-24;P001;C022;V01;1;4411.84;0.0;4411.84;0.0;4411.84;Vendedor Externo;dataset_vendas_fake.xlsx
V00076;2024-06-17;P009;C028;V05;1;397.64;0.0;397.64;0.0;397.64;Marketplace;dataset_vendas_fake.xlsx
V00077;2024-06-28;P017;C013;V07;3;558.94;0.05;1676.82;83.84;1592.98;Loja Física;dataset_vendas_fake.xlsx
V00078;2024-02-29;P009;C006;V06;1;362.98;0.0;362.98;0.0;362.98;Loja Física;dataset_vendas_fake.xlsx
V00079;2024-02-25;P020;C014;V04;1;195.37;0.0;195.37;0.0;195.37;Marketplace;dataset_vendas_fake.xlsx
V00080;2024-08-11;P020;C017;V04;1;191.87;0.0;191.87;0.0;191.87;Vendedor Externo;dataset_vendas_fake.xlsx
V00081;2024-10-22;P007;C009;V01;4;3009.36;0.15;12037.44;1805.62;10231.82;Vendedor Externo;dataset_vendas_fake.xlsx
V00082;2024-01-01;P017;C030;V03;1;477.06;0.15;477.06;71.56;405.5;Marketplace;dataset_vendas_fake.xlsx
V00083;2024-08-08;P003;C022;V06;1;71.47;0.2;71.47;14.29;57.18;Marketplace;dataset_vendas_fake.xlsx
V00084;2024-12-05;P004;C024;V06;3;243.55;0.0;730.65;0.0;730.65;Marketplace;dataset_vendas_fake.xlsx
V00085;2024-12-07;P014;C011;V08;3;102.07;0.0;306.21;0.0;306.21;Marketplace;dataset_vendas_fake.xlsx
V00086;2024-10-10;P005;C007;V06;1;2366.48;0.0;2366.48;0.0;2366.48;Vendedor Externo;dataset_vendas_fake.xlsx
V00087;2024-12-12;P006;C020;V06;1;898.81;0.0;898.81;0.0;898.81;Vendedor Externo;dataset_vendas_fake.xlsx
V00088;2024-10-07;P001;C010;V07;5;4156.89;0.0;20784.45;0.0;20784.45;E-commerce;dataset_vendas_fake.xlsx
V00089;2024-08-08;P019;C020;V06;3;513.15;0.0;1539.45;0.0;1539.45;Vendedor Externo;dataset_vendas_fake.xlsx
V00090;2024-08-14;P015;C022;V01;2;288.92;0.0;577.84;0.0;577.84;Vendedor Externo;dataset_vendas_fake.xlsx
V00091;2024-03-27;P003;C010;V07;2;69.01;0.1;138.02;13.8;124.22;Loja Física;dataset_vendas_fake.xlsx
V00092;2024-04-30;P010;C008;V03;3;457.27;0.0;1371.81;0.0;1371.81;E-commerce;dataset_vendas_fake.xlsx
V00093;2024-01-13;P002;C008;V08;2;4136.96;0.05;8273.92;413.7;7860.22;Loja Física;dataset_vendas_fake.xlsx
V00094;2024-08-21;P014;C029;V01;2;117.11;0.0;234.22;0.0;234.22;Vendedor Externo;dataset_vendas_fake.xlsx
V00095;2024-09-10;P013;C008;V03;1;121.87;0.0;121.87;0.0;121.87;Loja Física;dataset_vendas_fake.xlsx
V00096;2024-02-24;P014;C008;V03;1;105.97;0.0;105.97;0.0;105.97;Vendedor Externo;dataset_vendas_fake.xlsx
V00097;2024-01-26;P018;C008;V03;1;903.21;0.0;903.21;0.0;903.21;Vendedor Externo;dataset_vendas_fake.xlsx
V00098;2024-03-09;P015;C022;V06;1;322.96;0.0;322.96;0.0;322.96;Vendedor Externo;dataset_vendas_fake.xlsx
V00099;2024-11-09;P017;C014;V04;1;544.46;0.05;544.46;27.22;517.24;E-commerce;dataset_vendas_fake.xlsx
V00100;2024-08-31;P015;C009;V01;1;308.28;0.0;308.28;0.0;308.28;Marketplace;dataset_vendas_fake.xlsx
V00101;2024-09-23;P016;C021;V02;1;689.27;0.0;689.27;0.0;689.27;Marketplace;dataset_vendas_fake.xlsx
V00102;2024-08-13;P003;C023;V05;2;67.69;0.2;135.38;27.08;108.3;E-commerce;dataset_vendas_fake.xlsx
V00103;2024-05-19;P011;C011;V03;1;1213.1;0.05;1213.1;60.66;1152.44;E-commerce;dataset_vendas_fake.xlsx
V00104;2024-03-18;P008;C013;V02;1;1684.37;0.0;1684.37;0.0;1684.37;E-commerce;dataset_vendas_fake.xlsx
V00105;2024-02-02;P014;C014;V04;1;119.02;0.1;119.02;11.9;107.12;Vendedor Externo;dataset_vendas_fake.xlsx
V00106;2024-07-31;P002;C007;V06;2;3900.77;0.0;7801.54;0.0;7801.54;Vendedor Externo;dataset_vendas_fake.xlsx
V00107;2024-10-26;P001;C028;V05;1;4280.27;0.0;4280.27;0.0;4280.27;Vendedor Externo;dataset_vendas_fake.xlsx
V00108;2024-01-04;P012;C010;V07;2;962.69;0.0;1925.38;0.0;1925.38;Vendedor Externo;dataset_vendas_fake.xlsx
V00109;2024-10-02;P018;C026;V02;4;935.12;0.0;3740.48;0.0;3740.48;Vendedor Externo;dataset_vendas_fake.xlsx
V00110;2024-04-22;P009;C014;V04;2;349.22;0.0;698.44;0.0;698.44;Loja Física;dataset_vendas_fake.xlsx
V00111;2024-07-18;P011;C022;V06;1;1348.57;0.0;1348.57;0.0;1348.57;E-commerce;dataset_vendas_fake.xlsx
V00112;2024-08-27;P005;C020;V01;1;1899.15;0.0;1899.15;0.0;1899.15;Vendedor Externo;dataset_vendas_fake.xlsx
V00113;2024-10-30;P019;C022;V01;3;508.74;0.0;1526.22;0.0;1526.22;Loja Física;dataset_vendas_fake.xlsx
V00114;2024-11-25;P014;C005;V06;1;106.65;0.0;106.65;0.0;106.65;E-commerce;dataset_vendas_fake.xlsx
V00115;2024-01-26;P009;C013;V07;1;350.46;0.0;350.46;0.0;350.46;E-commerce;dataset_vendas_fake.xlsx
V00116;2024-08-20;P011;C011;V08;2;1310.33;0.0;2620.66;0.0;2620.66;Marketplace;dataset_vendas_fake.xlsx
V00117;2024-08-03;P009;C027;V04;1;367.26;0.0;367.26;0.0;367.26;Vendedor Externo;dataset_vendas_fake.xlsx
V00118;2024-01-10;P018;C002;V06;3;917.94;0.0;2753.82;0.0;2753.82;E-commerce;dataset_vendas_fake.xlsx
V00119;2024-11-28;P003;C025;V03;1;66.37;0.0;66.37;0.0;66.37;Loja Física;dataset_vendas_fake.xlsx
V00120;2024-05-06;P007;C027;V04;1;3000.25;0.0;3000.25;0.0;3000.25;E-commerce;dataset_vendas_fake.xlsx
V00121;2024-05-02;P005;C016;V02;1;2212.73;0.0;2212.73;0.0;2212.73;E-commerce;dataset_vendas_fake.xlsx
V00122;2024-08-26;P009;C025;V08;1;394.88;0.0;394.88;0.0;394.88;E-commerce;dataset_vendas_fake.xlsx
V00123;2024-11-06;P020;C024;V01;4;203.69;0.0;814.76;0.0;814.76;E-commerce;dataset_vendas_fake.xlsx
V00124;2024-06-08;P004;C019;V05;1;231.35;0.0;231.35;0.0;231.35;Marketplace;dataset_vendas_fake.xlsx
V00125;2024-10-21;P013;C013;V02;1;141.46;0.0;141.46;0.0;141.46;Loja Física;dataset_vendas_fake.xlsx
V00126;2024-10-30;P008;C004;V06;1;1854.85;0.0;1854.85;0.0;1854.85;Loja Física;dataset_vendas_fake.xlsx
V00127;2024-10-16;P002;C012;V06;2;3776.22;0.0;7552.44;0.0;7552.44;Marketplace;dataset_vendas_fake.xlsx
V00128;2024-02-05;P017;C021;V07;2;558.65;0.1;1117.3;111.73;1005.57;Loja Física;dataset_vendas_fake.xlsx
V00129;2024-08-03;P016;C004;V06;2;734.98;0.0;1469.96;0.0;1469.96;Marketplace;dataset_vendas_fake.xlsx
V00130;2024-11-21;P015;C023;V05;1;317.67;0.1;317.67;31.77;285.9;Vendedor Externo;dataset_vendas_fake.xlsx
V00131;2024-03-31;P017;C021;V07;5;529.88;0.0;2649.4;0.0;2649.4;Vendedor Externo;dataset_vendas_fake.xlsx
V00132;2024-08-26;P014;C027;V04;2;102.7;0.15;205.4;30.81;174.59;Marketplace;dataset_vendas_fake.xlsx
V00133;2024-05-05;P003;C009;V06;3;63.01;0.05;189.03;9.45;179.58;E-commerce;dataset_vendas_fake.xlsx
V00134;2024-08-25;P019;C020;V06;2;437.27;0.15;874.54;131.18;743.36;Marketplace;dataset_vendas_fake.xlsx
V00135;2024-01-15;P016;C028;V05;1;738.84;0.0;738.84;0.0;738.84;E-commerce;dataset_vendas_fake.xlsx
V00136;2024-09-06;P007;C012;V06;3;2633.82;0.0;7901.46;0.0;7901.46;Marketplace;dataset_vendas_fake.xlsx
V00137;2024-05-23;P020;C023;V05;3;166.65;0.0;499.95;0.0;499.95;Loja Física;dataset_vendas_fake.xlsx
V00138;2024-09-21;P007;C003;V02;4;3007.15;0.0;12028.6;0.0;12028.6;Vendedor Externo;dataset_vendas_fake.xlsx
V00139;2024-09-07;P018;C025;V03;2;872.31;0.0;1744.62;0.0;1744.62;Vendedor Externo;dataset_vendas_fake.xlsx
V00140;2024-11-26;P016;C015;V03;1;712.98;0.05;712.98;35.65;677.33;Loja Física;dataset_vendas_fake.xlsx
V00141;2024-05-30;P008;C013;V02;2;1831.64;0.0;3663.28;0.0;3663.28;Marketplace;dataset_vendas_fake.xlsx
V00142;2024-12-05;P019;C012;V06;1;431.85;0.0;431.85;0.0;431.85;Marketplace;dataset_vendas_fake.xlsx
V00143;2024-08-05;P018;C011;V08;1;967.63;0.0;967.63;0.0;967.63;Vendedor Externo;dataset_vendas_fake.xlsx
V00144;2024-05-18;P010;C009;V01;1;416.02;0.05;416.02;20.8;395.22;Loja Física;dataset_vendas_fake.xlsx
V00145;2024-04-08;P011;C004;V01;2;1144.0;0.0;2288.0;0.0;2288.0;E-commerce;dataset_vendas_fake.xlsx
V00146;2024-04-20;P016;C009;V06;2;612.22;0.1;1224.44;122.44;1102.0;Loja Física;dataset_vendas_fake.xlsx
V00147;2024-04-09;P010;C008;V08;2;409.11;0.0;818.22;0.0;818.22;E-commerce;dataset_vendas_fake.xlsx
V00148;2024-06-03;P001;C023;V05;5;4419.18;0.0;22095.9;0.0;22095.9;Marketplace;dataset_vendas_fake.xlsx
V00149;2024-01-24;P002;C018;V05;2;4428.3;0.2;8856.6;1771.32;7085.28;E-commerce;dataset_vendas_fake.xlsx
V00150;2024-11-22;P016;C004;V01;2;663.21;0.0;1326.42;0.0;1326.42;Marketplace;dataset_vendas_fake.xlsx
V00151;2024-08-28;P016;C015;V08;2;693.81;0.0;1387.62;0.0;1387.62;E-commerce;dataset_vendas_fake.xlsx
V00152;2024-01-27;P009;C028;V05;3;322.23;0.0;966.69;0.0;966.69;Loja Física;dataset_vendas_fake.xlsx
V00153;2024-02-03;P013;C016;V02;1;134.33;0.0;134.33;0.0;134.33;Loja Física;dataset_vendas_fake.xlsx
V00154;2024-03-18;P005;C026;V07;1;1936.7;0.0;1936.7;0.0;1936.7;Loja Física;dataset_vendas_fake.xlsx
V00155;2024-05-07;P004;C018;V05;2;261.75;0.2;523.5;104.7;418.8;E-commerce;dataset_vendas_fake.xlsx
V00156;2024-09-24;P013;C015;V08;1;128.25;0.1;128.25;12.82;115.43;Marketplace;dataset_vendas_fake.xlsx
V00157;2024-10-28;P014;C010;V02;1;119.03;0.0;119.03;0.0;119.03;Loja Física;dataset_vendas_fake.xlsx
V00158;2024-04-16;P007;C009;V01;4;2403.7;0.1;9614.8;961.48;8653.32;E-commerce;dataset_vendas_fake.xlsx
V00159;2024-05-02;P006;C018;V05;1;1118.28;0.0;1118.28;0.0;1118.28;E-commerce;dataset_vendas_fake.xlsx
V00160;2024-01-02;P014;C015;V08;1;119.19;0.0;119.19;0.0;119.19;Marketplace;dataset_vendas_fake.xlsx
V00161;2024-01-17;P008;C010;V07;2;1792.21;0.0;3584.42;0.0;3584.42;Vendedor Externo;dataset_vendas_fake.xlsx
V00162;2024-02-06;P008;C030;V08;2;1745.41;0.15;3490.82;523.62;2967.2;E-commerce;dataset_vendas_fake.xlsx
V00163;2024-08-05;P004;C018;V05;1;242.7;0.15;242.7;36.4;206.3;E-commerce;dataset_vendas_fake.xlsx
V00164;2024-05-16;P005;C003;V02;3;2114.22;0.0;6342.66;0.0;6342.66;E-commerce;dataset_vendas_fake.xlsx
V00165;2024-06-06;P020;C024;V06;1;171.06;0.0;171.06;0.0;171.06;Vendedor Externo;dataset_vendas_fake.xlsx
V00166;2024-03-04;P015;C023;V05;1;305.4;0.0;305.4;0.0;305.4;Vendedor Externo;dataset_vendas_fake.xlsx
V00167;2024-05-19;P017;C018;V05;5;606.17;0.0;3030.85;0.0;3030.85;Vendedor Externo;dataset_vendas_fake.xlsx
V00168;2024-02-11;P020;C002;V06;1;176.58;0.1;176.58;17.66;158.92;Marketplace;dataset_vendas_fake.xlsx
V00169;2024-11-05;P009;C001;V01;2;326.73;0.15;653.46;98.02;555.44;E-commerce;dataset_vendas_fake.xlsx
V00170;2024-12-11;P019;C019;V05;2;538.03;0.05;1076.06;53.8;1022.26;Marketplace;dataset_vendas_fake.xlsx
V00171;2024-10-22;P002;C025;V03;2;3909.88;0.15;7819.76;1172.96;6646.8;Vendedor Externo;dataset_vendas_fake.xlsx
V00172;2024-09-22;P015;C030;V08;3;265.82;0.0;797.46;0.0;797.46;E-commerce;dataset_vendas_fake.xlsx
V00173;2024-10-26;P014;C021;V07;1;115.03;0.2;115.03;23.01;92.02;Loja Física;dataset_vendas_fake.xlsx
V00174;2024-08-28;P012;C014;V04;1;947.66;0.0;947.66;0.0;947.66;Marketplace;dataset_vendas_fake.xlsx
V00175;2024-12-09;P004;C028;V05;4;278.05;0.1;1112.2;111.22;1000.98;Marketplace;dataset_vendas_fake.xlsx
V00176;2024-07-29;P016;C010;V07;1;669.69;0.0;669.69;0.0;669.69;Loja Física;dataset_vendas_fake.xlsx
V00177;2024-08-20;P003;C011;V08;1;69.87;0.1;69.87;6.99;62.88;Marketplace;dataset_vendas_fake.xlsx
V00178;2024-02-29;P013;C028;V05;5;151.89;0.0;759.45;0.0;759.45;Vendedor Externo;dataset_vendas_fake.xlsx
V00179;2024-07-30;P002;C007;V06;2;4425.87;0.1;8851.74;885.17;7966.57;Vendedor Externo;dataset_vendas_fake.xlsx
V00180;2024-11-16;P015;C025;V03;1;295.61;0.0;295.61;0.0;295.61;E-commerce;dataset_vendas_fake.xlsx
V00181;2024-05-16;P018;C005;V06;4;906.54;0.0;3626.16;0.0;3626.16;Vendedor Externo;dataset_vendas_fake.xlsx
V00182;2024-12-23;P016;C004;V01;2;703.85;0.0;1407.7;0.0;1407.7;E-commerce;dataset_vendas_fake.xlsx
V00183;2024-12-29;P006;C010;V02;1;1039.54;0.0;1039.54;0.0;1039.54;Vendedor Externo;dataset_vendas_fake.xlsx
V00184;2024-02-17;P008;C027;V04;2;1718.47;0.1;3436.94;343.69;3093.25;Vendedor Externo;dataset_vendas_fake.xlsx
V00185;2024-03-01;P005;C016;V07;1;2169.49;0.1;2169.49;216.95;1952.54;Marketplace;dataset_vendas_fake.xlsx
V00186;2024-07-31;P016;C016;V02;1;622.51;0.0;622.51;0.0;622.51;Vendedor Externo;dataset_vendas_fake.xlsx
V00187;2024-10-09;P005;C013;V02;2;2200.66;0.05;4401.32;220.07;4181.25;E-commerce;dataset_vendas_fake.xlsx
V00188;2024-02-05;P009;C025;V08;1;324.43;0.0;324.43;0.0;324.43;Marketplace;dataset_vendas_fake.xlsx
V00189;2024-09-16;P009;C027;V04;1;364.12;0.0;364.12;0.0;364.12;Marketplace;dataset_vendas_fake.xlsx
V00190;2024-06-01;P019;C019;V05;1;532.59;0.0;532.59;0.0;532.59;E-commerce;dataset_vendas_fake.xlsx
V00191;2024-08-16;P018;C016;V07;1;945.05;0.0;945.05;0.0;945.05;Marketplace;dataset_vendas_fake.xlsx
V00192;2024-10-09;P018;C013;V07;2;962.13;0.15;1924.26;288.64;1635.62;Marketplace;dataset_vendas_fake.xlsx
V00193;2024-04-06;P008;C019;V05;1;1889.17;0.0;1889.17;0.0;1889.17;E-commerce;dataset_vendas_fake.xlsx
V00194;2024-07-29;P002;C011;V08;1;3949.95;0.2;3949.95;789.99;3159.96;Vendedor Externo;dataset_vendas_fake.xlsx
V00195;2024-07-16;P005;C016;V02;1;2047.59;0.0;2047.59;0.0;2047.59;E-commerce;dataset_vendas_fake.xlsx
V00196;2024-09-14;P019;C011;V03;1;434.03;0.0;434.03;0.0;434.03;Vendedor Externo;dataset_vendas_fake.xlsx
V00197;2024-02-21;P017;C030;V08;1;495.2;0.0;495.2;0.0;495.2;Loja Física;dataset_vendas_fake.xlsx
V00198;2024-03-14;P014;C028;V05;2;98.52;0.0;197.04;0.0;197.04;Loja Física;dataset_vendas_fake.xlsx
V00199;2024-08-28;P009;C011;V08;3;353.97;0.0;1061.91;0.0;1061.91;Loja Física;dataset_vendas_fake.xlsx
V00200;2024-06-17;P018;C013;V07;1;816.73;0.0;816.73;0.0;816.73;Vendedor Externo;dataset_vendas_fake.xlsx
V00201;2024-10-04;P002;C020;V01;1;3773.02;0.0;3773.02;0.0;3773.02;E-commerce;dataset_vendas_fake.xlsx
V00202;2024-11-19;P010;C008;V03;1;413.51;0.0;413.51;0.0;413.51;Vendedor Externo;dataset_vendas_fake.xlsx
V00203;2024-02-20;P004;C015;V03;1;247.95;0.0;247.95;0.0;247.95;Marketplace;dataset_vendas_fake.xlsx
V00204;2024-01-15;P002;C011;V03;2;3538.53;0.05;7077.06;353.85;6723.21;Marketplace;dataset_vendas_fake.xlsx
V00205;2024-07-02;P012;C014;V04;2;831.1;0.1;1662.2;166.22;1495.98;E-commerce;dataset_vendas_fake.xlsx
V00206;2024-09-28;P014;C019;V05;3;95.35;0.0;286.05;0.0;286.05;E-commerce;dataset_vendas_fake.xlsx
V00207;2024-03-30;P003;C020;V06;2;68.04;0.0;136.08;0.0;136.08;E-commerce;dataset_vendas_fake.xlsx
V00208;2024-09-11;P019;C005;V01;1;469.09;0.0;469.09;0.0;469.09;Vendedor Externo;dataset_vendas_fake.xlsx
V00209;2024-11-22;P009;C015;V08;2;344.78;0.0;689.56;0.0;689.56;Loja Física;dataset_vendas_fake.xlsx
